                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 241.02,                 3.6657,                 298.89,                0.01552,                0.76316,                0.18574,                0.09665,                  403.1,                 4.0877,                 420.94,                0.00307,                0.00307,                0.00307
                     37,                    336,                  3.608,                 397.82,                0.02559,                0.86842,                0.40202,                0.24741,                 363.63,                 3.9183,                 364.01,               0.002872,               0.002872,               0.002872
                     38,                 323.29,                 3.6712,                  378.6,                0.02268,                0.86842,                0.32252,                0.12699,                 366.48,                 3.8927,                 341.79,               0.002674,               0.002674,               0.002674
                     39,                 284.21,                 3.6589,                 338.82,                0.02848,                0.86842,                0.22349,                0.11199,                 414.71,                 3.9194,                 350.38,               0.002476,               0.002476,               0.002476
                     40,                  313.4,                 3.5812,                  369.1,                0.02181,                0.78947,                 0.4652,                0.25934,                 384.82,                 3.8816,                 330.58,               0.002278,               0.002278,               0.002278
                     41,                 280.43,                 3.5691,                 351.62,                0.02572,                0.89474,                0.60815,                0.31611,                    344,                 3.8344,                 338.45,                0.00208,                0.00208,                0.00208
                     42,                  399.3,                 3.5415,                 447.97,                0.02642,                0.89474,                0.43655,                0.31177,                 333.12,                 3.8735,                 341.85,               0.001882,               0.001882,               0.001882
                     43,                 256.51,                  3.613,                 321.44,                0.02573,                0.89474,                0.48209,                0.19326,                 339.22,                 3.8197,                 333.06,               0.001684,               0.001684,               0.001684
                     44,                 271.62,                 3.6087,                 337.93,                 0.0249,                0.86842,                0.46408,                0.16279,                 345.33,                 3.8777,                 338.99,               0.001486,               0.001486,               0.001486
                     45,                 258.39,                 3.5843,                 319.39,                0.02103,                0.81579,                0.49729,                0.14741,                 337.39,                 3.9117,                 344.72,               0.001288,               0.001288,               0.001288
                     46,                 217.92,                   3.58,                 280.76,                0.02012,                0.78947,                 0.4875,                0.15928,                 339.22,                 3.9809,                  350.8,                0.00109,                0.00109,                0.00109
                     47,                 285.41,                 3.5758,                 344.38,                0.01893,                0.76316,                0.48375,                0.19289,                 346.18,                 4.0099,                  366.1,               0.000892,               0.000892,               0.000892
                     48,                 279.98,                 3.5375,                 343.92,                0.02116,                0.78947,                0.44282,                 0.1833,                 348.48,                 4.0052,                 367.21,               0.000694,               0.000694,               0.000694
                     49,                 243.25,                 3.5141,                 312.66,                0.02123,                0.78947,                0.46574,                0.20783,                 354.57,                 3.9914,                 376.54,               0.000496,               0.000496,               0.000496
